location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-09-14 00:00:00 +0200;Monday;18075;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-15 00:00:00 +0200;Tuesday;16791;28;cloudy;
Holstenstraße (Mitte), Kiel;2020-09-16 00:00:00 +0200;Wednesday;17463;22;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-17 00:00:00 +0200;Thursday;19310;17;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-18 00:00:00 +0200;Friday;20137;19;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-19 00:00:00 +0200;Saturday;25146;20;cloudy;
Holstenstraße (Mitte), Kiel;2020-09-20 00:00:00 +0200;Sunday;7046;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-21 00:00:00 +0200;Monday;17909;22;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-22 00:00:00 +0200;Tuesday;17168;24;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-23 00:00:00 +0200;Wednesday;19353;23;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-24 00:00:00 +0200;Thursday;18379;19;rain;
Holstenstraße (Mitte), Kiel;2020-09-25 00:00:00 +0200;Friday;18336;17;rain;
Holstenstraße (Mitte), Kiel;2020-09-26 00:00:00 +0200;Saturday;22554;16;rain;
Holstenstraße (Mitte), Kiel;2020-09-27 00:00:00 +0200;Sunday;4321;16;rain;
Holstenstraße (Mitte), Kiel;2020-09-28 00:00:00 +0200;Monday;18670;15;rain;
Holstenstraße (Mitte), Kiel;2020-09-29 00:00:00 +0200;Tuesday;18418;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-30 00:00:00 +0200;Wednesday;19174;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-01 00:00:00 +0200;Thursday;20041;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-02 00:00:00 +0200;Friday;22592;17;rain;
Holstenstraße (Mitte), Kiel;2020-10-03 00:00:00 +0200;Saturday;16336;17;rain;
Holstenstraße (Mitte), Kiel;2020-10-04 00:00:00 +0200;Sunday;33479;16;rain;
Holstenstraße (Mitte), Kiel;2020-10-05 00:00:00 +0200;Monday;21181;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-06 00:00:00 +0200;Tuesday;20252;15;rain;
Holstenstraße (Mitte), Kiel;2020-10-07 00:00:00 +0200;Wednesday;19022;15;rain;
Holstenstraße (Mitte), Kiel;2020-10-08 00:00:00 +0200;Thursday;13893;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-09 00:00:00 +0200;Friday;21570;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-10 00:00:00 +0200;Saturday;17474;11;rain;
Holstenstraße (Mitte), Kiel;2020-10-11 00:00:00 +0200;Sunday;6329;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-12 00:00:00 +0200;Monday;21389;13;rain;
Holstenstraße (Mitte), Kiel;2020-10-13 00:00:00 +0200;Tuesday;22392;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-14 00:00:00 +0200;Wednesday;20700;11;cloudy;
Holstenstraße (Mitte), Kiel;2020-10-15 00:00:00 +0200;Thursday;22142;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-16 00:00:00 +0200;Friday;21978;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-17 00:00:00 +0200;Saturday;24509;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-18 00:00:00 +0200;Sunday;5944;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-19 00:00:00 +0200;Monday;16925;11;rain;
Holstenstraße (Mitte), Kiel;2020-10-20 00:00:00 +0200;Tuesday;17187;11;rain;
Holstenstraße (Mitte), Kiel;2020-10-21 00:00:00 +0200;Wednesday;13425;15;rain;
Holstenstraße (Mitte), Kiel;2020-10-22 00:00:00 +0200;Thursday;17420;16;rain;
Holstenstraße (Mitte), Kiel;2020-10-23 00:00:00 +0200;Friday;19229;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-24 00:00:00 +0200;Saturday;22308;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-25 00:00:00 +0200;Sunday;3928;15;rain;
Holstenstraße (Mitte), Kiel;2020-10-26 00:00:00 +0100;Monday;15456;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-27 00:00:00 +0100;Tuesday;16329;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-28 00:00:00 +0100;Wednesday;16121;13;rain;
Holstenstraße (Mitte), Kiel;2020-10-29 00:00:00 +0100;Thursday;15548;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-30 00:00:00 +0100;Friday;17048;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-31 00:00:00 +0100;Saturday;6749;14;rain;
Holstenstraße (Mitte), Kiel;2020-11-01 00:00:00 +0100;Sunday;6392;14;rain;
Holstenstraße (Mitte), Kiel;2020-11-02 00:00:00 +0100;Monday;13661;18;rain;
Holstenstraße (Mitte), Kiel;2020-11-03 00:00:00 +0100;Tuesday;14113;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-04 00:00:00 +0100;Wednesday;12633;12;rain;
